Date,Type,Link
2022-06-12 11:37:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6940769041070374912
2022-06-12 11:37:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6939915709447557120
2022-05-31 14:14:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6937316491339919360
2022-05-30 11:31:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6936950093916827649
2022-05-30 11:29:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6936911056862621696
2022-05-22 15:08:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934004938377216000
2022-05-14 20:02:54,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6930856756495405057
2022-05-06 15:15:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6927579048172810240
2022-05-06 15:13:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6928005676224954368
2022-05-03 17:28:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6924611075493560320
2022-05-03 17:25:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6927022807490916352
2022-05-02 16:21:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6926635731675152384
2022-04-27 15:25:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6925040355314671616
2022-04-27 06:42:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6924826880403484672
2022-04-25 17:03:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6923519073406312448
2022-04-22 17:47:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6923264885195689984
2022-04-13 16:24:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919206724679704576
2022-04-11 07:49:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6890257879723507712
2022-04-11 04:49:54,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6916699815624003584
2022-04-01 10:19:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6914439833952161792
2022-04-01 10:17:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6915327394283147264
2022-03-31 15:02:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6914820276333494272
2022-03-24 14:11:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910165997865861120
2022-03-24 14:05:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912241766427488256
2022-03-24 14:03:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912018588467965952
2022-03-23 17:46:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912359994663264256
2022-03-19 14:14:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910026423223140352
2022-03-07 05:27:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6906275887138918400
2022-03-06 09:19:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6902995943092822016
2022-03-06 08:22:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6904678844767563776
2022-03-04 14:16:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905460326372925440
2022-02-27 13:18:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6903382129762189312
2022-02-25 15:55:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6902227440035348480
2022-02-15 12:54:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6898860283830386688
2022-02-12 07:34:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6898163057273507840
2022-02-12 07:31:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6895617560977453056
2022-02-06 18:22:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6896150688578052096
2022-02-05 15:00:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6895273487808757760
2022-02-01 06:17:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6893832960668266496
2022-02-01 06:16:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6893804365992251392
2022-01-26 11:50:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6892022083657039872
